Epoch,Train Loss,Val Loss,Train Acc,Val Acc
1,0.3150,0.1432,0.8864,0.9560
2,0.1819,0.1033,0.9370,0.9637
3,0.1795,0.1151,0.9360,0.9598
4,0.1518,0.1059,0.9451,0.9598
5,0.1526,0.0766,0.9516,0.9715
6,0.1147,0.0731,0.9558,0.9741
7,0.1053,0.0612,0.9591,0.9767
8,0.0907,0.0557,0.9672,0.9793
9,0.0809,0.0576,0.9708,0.9754
10,0.0927,0.0553,0.9636,0.9741
11,0.0853,0.0575,0.9705,0.9754
12,0.0836,0.0587,0.9698,0.9754
13,0.0746,0.0545,0.9718,0.9767
14,0.0743,0.0550,0.9695,0.9806
15,0.0741,0.0571,0.9721,0.9754
