Epoch,Train Loss,Val Loss,Train Acc,Val Acc
1,0.2270,0.0634,0.9216,0.9814
2,0.1081,0.0168,0.9593,0.9977
3,0.0806,0.0463,0.9715,0.9884
4,0.0838,0.0174,0.9698,0.9954
5,0.0531,0.0105,0.9791,0.9954
6,0.0589,0.0055,0.9826,1.0000
7,0.0337,0.0030,0.9890,1.0000
8,0.0394,0.0031,0.9837,1.0000
9,0.0271,0.0020,0.9913,1.0000
10,0.0251,0.0030,0.9924,1.0000
11,0.0265,0.0029,0.9913,1.0000
12,0.0248,0.0032,0.9878,1.0000
13,0.0222,0.0019,0.9924,1.0000
14,0.0212,0.0021,0.9942,1.0000
15,0.0313,0.0017,0.9913,1.0000
