Epoch,Train Loss,Val Loss,Train Acc,Val Acc
1,0.6018,0.5563,0.7626,0.8127
2,0.4924,0.3493,0.8142,0.8666
3,0.4234,0.3255,0.8353,0.8837
4,0.4290,0.3139,0.8372,0.8862
5,0.3802,0.3440,0.8577,0.8825
6,0.3487,0.2611,0.8691,0.9131
7,0.3072,0.2460,0.8878,0.9168
8,0.2939,0.2452,0.8856,0.9180
9,0.2965,0.2364,0.8859,0.9217
10,0.2871,0.2411,0.8905,0.9241
11,0.2729,0.2370,0.8988,0.9241
12,0.2812,0.2374,0.8921,0.9217
13,0.2672,0.2338,0.8954,0.9229
14,0.2791,0.2342,0.8933,0.9204
15,0.2799,0.2320,0.8954,0.9217
