Epoch,Train Loss,Val Loss,Train Acc,Val Acc
1,0.7684,0.3972,0.7304,0.8657
2,0.4272,0.3039,0.8616,0.9028
3,0.3722,0.3714,0.8785,0.8781
4,0.3217,0.3105,0.8980,0.9081
5,0.3585,0.1946,0.8794,0.9293
6,0.1930,0.1261,0.9348,0.9611
7,0.1656,0.1169,0.9432,0.9594
8,0.1648,0.1263,0.9459,0.9700
9,0.1407,0.1047,0.9499,0.9664
10,0.1442,0.1053,0.9574,0.9629
11,0.1490,0.0965,0.9508,0.9664
12,0.1328,0.0972,0.9592,0.9664
13,0.1630,0.0957,0.9463,0.9717
14,0.1326,0.0973,0.9548,0.9664
15,0.1480,0.0840,0.9534,0.9735
