Epoch,Train Loss,Val Loss,Train Acc,Val Acc
1,0.1792,0.0884,0.9388,0.9746
2,0.1001,0.2058,0.9728,0.9492
3,0.0729,0.0912,0.9800,0.9712
4,0.0428,0.0257,0.9889,0.9983
5,0.0495,0.0599,0.9834,0.9898
6,0.0355,0.0342,0.9894,0.9915
7,0.0202,0.0207,0.9953,0.9966
8,0.0260,0.0159,0.9919,0.9966
9,0.0131,0.0146,0.9953,0.9966
10,0.0176,0.0120,0.9949,0.9966
11,0.0141,0.0124,0.9970,0.9966
12,0.0113,0.0125,0.9957,0.9966
13,0.0104,0.0117,0.9979,0.9966
14,0.0133,0.0117,0.9945,0.9966
15,0.0095,0.0122,0.9970,0.9966
